,1st,2nd,3rd,Events,Name,Average Score,Rounds,Total Adjustment,Total Strokes,Average Drive,Driving Percentage,Fairways Hit,Possible Fairways,Greens Percentage,SG: Tee-to-Green,SG: Total,SG: Putting,Scrambling %
187,0.0,0.0,0.0,0.0,John Senden,72.109,40.0,29.341,2855.0,284.3,61.94,345.0,557.0,67.22,-0.396,-0.553,-0.156,64.41
188,0.0,0.0,0.0,0.0,Vijay Singh,72.145,36.0,-2.767,2600.0,287.4,58.48,293.0,501.0,62.96,-0.132,-0.678,-0.546,55.83
189,0.0,0.0,0.0,0.0,K.J. Choi,72.179,47.0,10.713,3093.0,276.0,65.28,391.0,599.0,61.11,-0.484,-0.553,-0.069,58.47
190,0.0,0.0,0.0,0.0,Carl Pettersson,72.207,48.0,12.538,3309.0,279.5,53.27,342.0,642.0,58.21,-1.137,-0.938,0.199,54.91
191,0.0,0.0,0.0,0.0,Ken Duke,72.266,56.0,24.375,3878.0,272.3,66.8,503.0,753.0,62.04,-0.539,-0.978,-0.439,56.1
192,0.0,0.0,0.0,0.0,Ernie Els,72.381,39.0,-0.132,2823.0,283.6,54.96,299.0,544.0,56.98,-1.016,-0.661,0.355,53.64
193,0.0,0.0,0.0,0.0,Zack Sucher,72.412,34.0,12.993,2449.0,282.8,59.16,281.0,475.0,64.38,-0.354,-0.921,-0.566,54.59
194,0.0,0.0,0.0,0.0,Brian Campbell,72.52,37.0,16.183,2522.0,292.3,56.65,277.0,489.0,60.95,-0.757,-0.703,0.054,55.28
195,0.0,0.0,0.0,0.0,Brett Stegmaier,72.52,56.0,27.139,4034.0,286.2,64.53,504.0,781.0,65.28,-1.206,-1.599,-0.392,51.71
196,0.0,0.0,0.0,0.0,Mark Hubbard,72.53,55.0,20.566,3751.0,277.4,56.55,410.0,725.0,62.61,-1.053,-1.28,-0.227,57.14
197,0.0,0.0,0.0,0.0,Hunter Mahan,72.538,51.0,6.451,3693.0,291.4,61.35,435.0,709.0,62.2,-1.113,-1.139,-0.026,56.77
198,0.0,0.0,0.0,0.0,Miguel Angel Carballo,72.68,41.0,24.535,2810.0,283.8,61.83,337.0,545.0,62.39,-1.574,-1.69,-0.116,54.17
199,0.0,0.0,0.0,0.0,Rick Lamb,73.028,31.0,13.874,2250.0,292.8,60.97,264.0,433.0,64.16,-0.988,-1.961,-0.973,52.0
200,0.0,0.0,0.0,0.0,Bobby Wyatt,73.558,32.0,13.74,2193.0,290.4,52.98,222.0,419.0,62.78,-1.945,-2.558,-0.613,48.76
201,0.0,0.0,0.0,0.0,Matt Every,73.841,50.0,3.385,3541.0,292.9,44.39,297.0,669.0,57.06,-2.036,-2.567,-0.531,44.74
202,0.0,0.0,0.0,0.0,Steven Bowditch,74.693,47.0,1.176,3360.0,287.4,45.45,285.0,627.0,52.35,-2.642,-2.947,-0.305,51.81
